Trigger: G-switch.
Smart Recovery option enabled with altitude setting of 685 ft.
Timed recovery set at 16 sec (drogue) and 0 sec (main).
Data is sampled at 200 Hz.
Inputs that were sampled: Acceleration, Pressure, the digital inputs, ADC0, ADC1, ADC2, ADC3.
This data was generated with version 4.2 of the RDAS windows software,
and downloaded from an RDAS board with firmware version 3.1
  Acc [G]  Alt [ft] 
      0.5       454 
      0.5       428 
      0.5       454 
      0.3       454 
      0.1       454 
      0.2       454 
     -0.0       454 
     -0.0       454 
     -0.2       454 
     -0.3       454 
     -0.2       454 
     -0.6       480 
     -0.3       454 
     -0.4       480 
     -0.3       480 
     -0.2       480 
     -1.3       454 
     -0.6       480 
     -0.4       454 
     -0.3       480 
     -0.6       480 
     -0.4       480 
     -0.4       480 
     -0.4       480 
     -0.4       480 
     -0.2       480 
     -0.4       480 
     -0.4       480 
     -0.2       506 
     -0.4       506 
     -0.4       506 
     -0.3       506 
     -0.3       506 
     -0.3       506 
     -0.4       531 
     -0.3       506 
     -0.7       506 
     -0.3       506 
     -0.2       506 
     -0.3       531 
     -0.2       506 
     -0.4       531 
     -0.6       506 
     -0.2       531 
     -0.2       506 
     -0.6       531 
     -0.2       531 
     -0.4       531 
     -0.6       506 
     -0.3       531 
     -0.4       557 
     -0.3       531 
     -0.6       557 
     -0.3       531 
     -0.3       557 
     -0.3       557 
     -0.4       557 
     -0.4       531 
     -0.4       557 
     -0.4       557 
     -0.3       557 
     -0.3       583 
     -0.3       557 
     -0.4       583 
     -0.4       557 
     -0.3       557 
     -0.3       557 
     -0.4       583 
     -0.3       583 
     -0.3       557 
     -0.4       583 
     -0.6       583 
     -0.4       583 
     -0.3       583 
     -0.7       609 
     -0.3       609 
     -0.4       583 
     -0.4       609 
     -0.3       609 
     -0.3       609 
     -0.6       609 
     -0.4       609 
     -0.4       609 
     -0.4       609 
     -0.4       609 
     -0.3       609 
     -0.4       609 
     -0.3       609 
     -0.4       609 
     -0.6       609 
     -0.2       609 
     -0.3       635 
     -0.3       635 
     -0.4       635 
     -0.3       635 
     -0.4       635 
     -0.6       635 
     -0.4       661 
     -0.6       661 
     -0.4       635 
     -0.3       635 
     -0.4       661 
     -0.3       661 
     -0.3       661 
     -0.2       661 
     -0.6       661 
     -0.3       661 
     -0.3       661 
     -0.4       661 
     -0.3       661 
     -0.3       661 
     -0.4       687 
     -0.3       661 
     -0.3       661 
     -0.6       661 
     -0.3       687 
     -0.4       687 
     -0.4       687 
     -0.3       687 
     -0.4       687 
     -0.4       687 
     -0.3       713 
     -0.4       713 
     -0.4       713 
     -0.2       687 
     -0.4       713 
     -0.4       713 
     -0.2       713 
     -0.3       713 
     -0.4       713 
     -0.3       713 
     -0.3       713 
     -0.6       713 
     -0.2       713 
     -0.3       713 
     -0.3       713 
     -0.3       713 
     -0.4       713 
     -0.4       739 
     -0.4       713 
     -0.2       739 
     -0.3       739 
     -0.4       739 
