acce(G)   alt(m) 
7.3       272 
7.0       272 
7.2       272 
4.1       272 
0.1       272 
6.6       272 
7.8       272 
6.8       272 
7.2       272 
7.5       272 
7.2       272 
7.3       272 
7.0       272 
7.0       272 
5.4       272 
7.7       272 
7.9       297 
7.7       272 
7.4       272 
6.5       297 
8.3       272 
6.9       272 
7.5       297 
7.0       272 
6.5       297 
7.3       297 
6.6       297 
7.3       297 
6.6       297 
7.0       272 
8.1       297 
6.4       297 
7.4       297 
6.8       323 
6.9       297 
7.2       297 
6.5       297 
7.2       297 
6.8       323 
6.9       297 
7.0       323 
6.8       297 
7.0       323 
6.8       323 
7.2       323 
4.3       323 
8.3       323 
6.8       323 
7.4       297 
6.6       323 
7.0       323 
6.8       323 
7.0       323 
7.3       323 
5.2       323 
0.2       323 
6.5       323 
7.8       348 
6.3       348 
6.5       348 
6.6       348 
7.3       348 
7.3       348 
6.8       348 
6.9       348 
6.9       374 
7.3       348 
7.0       374 
6.8       348 
6.6       374 
7.2       348 
6.8       374 
6.9       374 
6.8       374 
6.6       374 
7.4       374 
6.8       374 
6.5       374 
6.9       374 
6.9       374 
6.6       374 
7.3       374 
6.9       399 
6.8       399 
6.9       399 
5.4       399 
7.5       399 
6.9       374 
6.5       399 
6.8       399 
6.5       399 
7.3       399 
6.6       399 
7.3       399 
6.5       425 
7.0       425 
6.9       425 
6.6       425 
6.5       425 
6.9       425 
6.8       425 
6.4       425 
7.4       425 
6.5       425 
6.6       425 
6.6       425 
6.8       451 
6.9       425 
6.5       425 
6.9       451 
6.6       451 
6.8       451 
6.4       451 
7.3       451 
5.6       425 
6.9       451 
6.4       451 
6.5       451 
6.6       451 
6.5       451 
6.5       451 
6.0       476 
6.4       476 
6.3       476 
6.5       476 
6.4       476 
6.4       476 
6.1       476 
6.6       451 
7.0       476 
5.6       476 
6.9       476 
5.9       476 
6.4       502 
6.0       476 
6.5       476 
6.5       502 
5.7       476 
6.5       502 
6.0       502 
6.3       502 
5.9       502 
6.1       502 
6.1       502 
6.0       502 
5.6       502 
6.1       502 
6.1       528 
5.9       528 
5.5       528 
6.4       528 
5.1       528 
6.4       528 
5.7       528 
6.1       528 
5.6       528 
5.7       528 
6.0       528 
5.7       553 
5.9       553 
5.4       553 
5.9       553 
5.5       553 
5.6       553 
5.9       553 
5.4       553 
5.6       579 
5.7       579 
5.5       553 
6.0       579 
5.6       579 
5.4       579 
5.9       579 
5.2       579 
5.4       579 
5.5       579 
5.6       579 
5.4       579 
5.5       605 
5.6       579 
5.0       579 
5.6       605 
5.4       605 
5.2       579 
5.6       579 
5.1       579 
5.4       605 
5.4       605 
5.2       605 
5.2       605 
4.7       605 
5.6       605 
4.8       630 
5.4       605 
5.2       605 
5.0       630 
5.5       630 
4.8       630 
5.1       630 
5.0       630 
4.8       630 
5.5       656 
5.1       656 
4.7       630 
5.4       656 
5.1       656 
5.2       656 
5.0       656 
5.2       656 
5.0       656 
4.8       656 
5.1       656 
5.0       656 
5.4       682 
4.6       682 
5.0       682 
4.7       682 
5.0       682 
4.8       682 
4.8       682 
4.7       682 
5.0       682 
5.0       708 
4.8       682 
4.6       708 
5.1       682 
4.6       708 
4.7       708 
4.5       708 
4.7       708 
4.7       708 
4.5       708 
4.7       708 
4.7       734 
4.8       708 
4.5       708 
4.6       734 
4.5       734 
5.0       734 
4.3       734 
4.7       734 
4.5       734 
4.6       760 
4.7       760 
4.5       760 
4.6       734 
4.5       760 
4.5       760 
4.5       760 
4.6       734 
4.5       760 
4.5       760 
4.6       785 
4.3       734 
4.1       760 
4.5       760 
4.2       760 
4.3       785 
3.9       785 
4.3       760 
4.5       785 
4.3       785 
4.1       785 
4.2       785 
4.2       785 
4.6       785 
3.9       760 
4.3       785 
4.6       785 
4.3       785 
4.2       785 
4.2       811 
4.3       811 
3.9       811 
3.9       811 
4.3       811 
4.3       837 
4.2       811 
3.8       837 
3.8       811 
4.2       837 
3.9       837 
4.3       837 
4.2       837 
3.4       837 
4.2       837 
4.1       837 
4.3       837 
4.3       837 
4.1       837 
3.9       837 
4.2       837 
4.2       863 
3.9       863 
3.9       863 
3.9       863 
3.9       863 
4.2       863 
3.9       889 
3.9       863 
4.2       889 
4.2       889 
3.8       889 
3.8       889 
4.1       889 
4.1       889 
3.9       889 
3.7       889 
3.6       889 
3.9       889 
3.6       915 
3.7       915 
3.7       915 
3.4       915 
3.7       915 
3.6       915 
3.6       915 
3.4       941 
3.7       915 
3.7       941 
3.7       941 
3.7       941 
3.8       941 
3.7       941 
3.8       967 
3.8       967 
3.7       941 
3.7       967 
3.4       967 
3.8       967 
3.8       967 
3.6       967 
3.8       967 
3.3       967 
3.9       967 
3.4       993 
3.6       993 
3.4       993 
3.7       993 
3.6       993 
3.3       993 
3.8       993 
3.3      1019 
3.7       993 
3.7      1019 
3.4       993 
3.7      1019 
3.3      1019 
3.7       993 
3.2      1019 
3.7       993 
3.0      1019 
3.6      1019 
3.4      1019 
3.0      1019 
3.7      1019 
3.2      1019 
3.6      1045 
3.2      1045 
3.6      1045 
3.0      1045 
3.7      1045 
3.0      1045 
3.2      1045 
3.7      1045 
3.0      1045 
3.4      1045 
3.2      1071 
3.2      1071 
3.3      1071 
3.6      1071 
3.2      1071 
2.9      1071 
3.3      1071 
3.2      1097 
3.3      1097 
3.4      1097 
3.0      1097 
3.4      1097 
2.9      1124 
2.9      1097 
3.4      1124 
2.7      1124 
3.2      1124 
2.8      1124 
3.0      1124 
3.3      1124 
2.8      1124 
3.4      1150 
2.9      1150 
3.2      1150 
2.7      1150 
3.0      1150 
3.4      1150 
2.5      1176 
3.0      1150 
2.9      1176 
2.4      1176 
2.9      1176 
2.8      1176 
2.8      1176 
2.8      1176 
3.0      1176 
3.0      1202 
3.0      1202 
2.7      1202 
3.2      1202 
2.3      1202 
2.9      1202 
2.8      1202 
2.3      1202 
2.8      1202 
2.9      1228 
2.5      1228 
2.7      1228 
2.7      1228 
2.8      1228 
2.5      1228 
2.4      1228 
2.8      1228 
2.1      1228 
2.8      1255 
2.4      1255 
2.7      1255 
2.0      1255 
3.7      1255 
2.3      1255 
2.4      1255 
2.8      1255 
2.4      1255 
2.3      1281 
2.4      1281 
2.5      1281 
2.4      1281 
2.7      1281 
2.1      1281 
2.7      1281 
2.5      1307 
2.3      1307 
2.9      1307 
1.9      1307 
2.5      1307 
2.9      1307 
2.4      1307 
2.3      1307 
2.0      1307 
2.3      1333 
2.1      1333 
2.4      1333 
2.3      1333 
1.9      1333 
2.3      1360 
1.9      1360 
2.0      1360 
2.4      1333 
2.5      1360 
1.8      1386 
2.0      1386 
2.1      1386 
2.3      1386 
1.5      1386 
2.1      1412 
2.1      1386 
1.9      1412 
1.9      1412 
1.2      1412 
2.3      1439 
1.5      1412 
2.0      1439 
2.7      1412 
2.1      1439 
1.9      1439 
2.3      1439 
1.9      1465 
1.6      1465 
2.5      1465 
1.5      1465 
2.0      1492 
1.6      1465 
2.1      1492 
1.8      1492 
1.2      1492 
2.4      1492 
1.6      1518 
1.6      1518 
1.8      1518 
1.2      1544 
1.6      1544 
1.5      1544 
1.5      1544 
1.6      1571 
1.8      1571 
1.5      1571 
1.8      1571 
1.1      1597 
1.4      1597 
1.6      1624 
1.0      1624 
1.5      1624 
1.6      1624 
1.4      1650 
1.4      1650 
1.2      1650 
1.4      1677 
1.4      1677 
1.5      1704 
1.5      1704 
1.0      1704 
1.2      1730 
0.7      1730 
1.0      1730 
1.0      1757 
1.4      1757 
1.6      1783 
1.1      1783 
1.6      1783 
1.6      1783 
1.0      1810 
1.2      1810 
1.4      1837 
1.2      1837 
0.9      1864 
0.9      1864 
1.8      1890 
1.1      1890 
0.5      1917 
1.8      1917 
0.9      1944 
2.3      1944 
1.6      1971 
2.1      1997 
1.8      1997 
1.6      1997 
2.3      1997 
1.5      1997 
1.8      1997 
1.9      1997 
0.9      1997 
2.8      2024 
1.6      1997 
1.8      2024 
1.9      2024 
1.4      2024 
1.6      2024 
1.8      1997 
2.4      2024 
2.1      1997 
2.0      1997 
1.5      1997 
1.6      1971 
2.0      1971 
1.1      1971 
